"ID","Faction","Instance_Id","Supercedes","Title_Lang_enUS","Title_Lang_enGB","Title_Lang_koKR","Title_Lang_frFR","Title_Lang_deDE","Title_Lang_enCN","Title_Lang_zhCN","Title_Lang_enTW","Title_Lang_zhTW","Title_Lang_esES","Title_Lang_esMX","Title_Lang_ruRU","Title_Lang_ptPT","Title_Lang_ptBR","Title_Lang_itIT","Title_Lang_Unk","Title_Lang_Mask","Description_Lang_enUS","Description_Lang_enGB","Description_Lang_koKR","Description_Lang_frFR","Description_Lang_deDE","Description_Lang_enCN","Description_Lang_zhCN","Description_Lang_enTW","Description_Lang_zhTW","Description_Lang_esES","Description_Lang_esMX","Description_Lang_ruRU","Description_Lang_ptPT","Description_Lang_ptBR","Description_Lang_itIT","Description_Lang_Unk","Description_Lang_Mask","Category","Points","Ui_Order","Flags","IconID","Reward_Lang_enUS","Reward_Lang_enGB","Reward_Lang_koKR","Reward_Lang_frFR","Reward_Lang_deDE","Reward_Lang_enCN","Reward_Lang_zhCN","Reward_Lang_enTW","Reward_Lang_zhTW","Reward_Lang_esES","Reward_Lang_esMX","Reward_Lang_ruRU","Reward_Lang_ptPT","Reward_Lang_ptBR","Reward_Lang_itIT","Reward_Lang_Unk","Reward_Lang_Mask","Minimum_Criteria","Shares_Criteria"
"126","-1","-1","0","Journeyman Fisherman","수습 낚시꾼","Compagnon pêcheur","Anglergeselle","中级钓鱼","中級漁夫","Oficial pescador","Oficial pescador","Рыболов-подмастерье","","","","","","","","16712190","Become a Journeyman Fisherman.","수습 낚시꾼 되기","Devenir un compagnon pêcheur.","Werdet Anglergeselle.","成为一名中级渔夫。","習得中級釣魚技能。","Conviértete en oficial pescador.","Conviértete en oficial pescador.","Станьте рыболовом-подмастерьем.","","","","","","","","16712190","171","10","1","0","580","","","","","","","","","","","","","","","","","16712174","0","0"
"131","-1","-1","0","Journeyman in First Aid","수습 응급치료사","Compagnon secouriste","Geselle in Erster Hilfe","中级急救","習得中級急救技能","Oficial en primeros auxilios","Oficial en primeros auxilios","Подмастерье первой помощи","","","","","","","","16712190","Become a Journeyman in first aid.","수습 응급치료사 되기","Devenir un compagnon secouriste.","Werdet Geselle der Ersten Hilfe.","成为一名中级急救师。","習得中級急救技能。","Conviértete en oficial en primeros auxilios.","Conviértete en oficial en primeros auxilios.","Станьте подмастерьем первой помощи.","","","","","","","","16712190","172","10","1","0","504","","","","","","","","","","","","","","","","","16712174","0","0"
"154","-1","529","0","Arathi Basin Victory","아라시 분지 승리","Victoire dans le bassin d'Arathi","Sieg im Arathibecken","阿拉希盆地胜利","阿拉希盆地勝利","Victoria en la Cuenca de Arathi","Victoria en la Cuenca de Arathi","Победа в Низине Арати","","","","","","","","16712190","Win Arathi Basin.","아라시 분지 승리","Gagner dans le bassin d'Arathi.","Gewinnt im Arathibecken.","在阿拉希盆地获胜。","阿拉希盆地獲勝。","Gana en la Cuenca de Arathi.","Gana en la Cuenca de Arathi.","Выиграйте сражение в Низине Арати.","","","","","","","","16712190","14802","10","1","0","3381","","","","","","","","","","","","","","","","","16712174","0","0"
"166","-1","489","0","Warsong Gulch Victory","전쟁노래 협곡 승리","Victoire dans le goulet des Chanteguerres","Sieg in der Kriegshymnenschlucht","战歌峡谷胜利","戰歌峽谷勝利","Victoria en la Garganta Grito de Guerra","Victoria en la Garganta Grito de Guerra","Победа в Ущелье Песни Войны","","","","","","","","16712190","Win Warsong Gulch.","전쟁노래 협곡 승리","Gagner dans le goulet des Chanteguerres.","Gewinnt in der Kriegshymnenschlucht.","在战歌峡谷获胜。","戰歌峽谷獲勝。","Gana en la Garganta Grito de Guerra.","Gana en la Garganta Grito de Guerra.","Выиграйте сражение в Ущелье Песни Войны.","","","","","","","","16712190","14804","10","1","0","3387","","","","","","","","","","","","","","","","","16712174","0","0"
"193","-1","-1","0","Largest hit dealt","입힌 최대 피해량","Plus gros dégâts effectués","Schwerster verursachter Treffer","造成的最高伤害","最大傷害","Mayor golpe asestado","Mayor golpe asestado","Самый сильный удар","","","","","","","","16712190","Largest hit dealt","입힌 최대 피해량","Plus gros dégâts effectués","Schwerster verursachter Treffer","造成的最高伤害","最大傷害","Mayor golpe asestado","Mayor golpe asestado","Самый сильный удар","","","","","","","","16712190","141","0","1","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"208","-1","566","0","Eye of the Storm Victory","폭풍의 눈 승리","Victoire dans l'Œil du cyclone","Sieg im Auge des Sturms","风暴之眼胜利","暴風之眼勝利","Victoria en el Ojo de la Tormenta","Victoria en el Ojo de la Tormenta","Победа на Оке Бури","","","","","","","","16712190","Win Eye of the Storm.","폭풍의 눈 승리","Gagner dans l'Œil du cyclone.","Gewinnt im Auge des Sturms.","在风暴之眼获胜。","暴風之眼獲勝。","Gana en el Ojo de la Tormenta.","Gana en el Ojo de la Tormenta.","Одержите победу на Оке Бури.","","","","","","","","16712190","14803","10","1","0","3384","","","","","","","","","","","","","","","","","16712174","0","0"
"218","-1","30","0","Alterac Valley Victory","알터랙 계곡 승리","Victoire dans la vallée d'Alterac","Sieg im Alteractal","奥特兰克山谷胜利","奧特蘭克山谷勝利","Victoria en el Valle de Alterac","Victoria en el Valle de Alterac","Победа в Альтеракской долине","","","","","","","","16712190","Win Alterac Valley.","알터랙 계곡 승리","Gagner dans la vallée d'Alterac.","Gewinnt im Alteractal.","在奥特兰克山谷获胜。","奧特蘭克山谷獲勝。","Gana en el Valle de Alterac.","Gana en el Valle de Alterac.","Выиграйте сражение в Альтеракской долине.","","","","","","","","16712190","14801","10","1","0","3377","","","","","","","","","","","","","","","","","16712174","0","0"
"238","-1","-1","0","An Honorable Kill","명예로운 처치","Une victoire honorable","Ein ehrenhafter Sieg","一次荣誉击杀","一個榮譽擊殺","Una muerte con honor","Una muerte con honor","Победа в PvP","","","","","","","","16712190","Achieve an honorable kill.","명예 승수 획득","Obtenir une victoire honorable.","Erringt einen ehrenhaften Sieg.","完成一次荣誉击杀。","達成一個榮譽擊殺。","Consigue una muerte con honor.","Consigue una muerte con honor.","Одержите почетную победу в PvP.","","","","","","","","16712190","95","10","1","0","3454","","","","","","","","","","","","","","","","","16712174","0","0"
"263","-1","-1","0","Ice the Frost Lord","서리 군주 처치","Tel est glacé qui croyait geler","Legt den Frostfürsten auf Eis","冰霜之王","凍死冰霜領主","Hiela al Señor de la Escarcha","Hiela al Señor de la Escarcha","Заморозить Повелителя Холода","","","","","","","","16712190","Slay Ahune in the Slave Pens.","강제 노역소에서 아훈 처치","Tuer Ahune dans les enclos aux esclaves.","Tötet Ahune in den Sklavenunterkünften.","杀死奴隶围栏的埃霍恩。","在奴隸監獄殺死艾胡恩。","Mata a Ahune en el Recinto de los Esclavos.","Mata a Ahune en el Recinto de los Esclavos.","Убейте Ахуна в Узилище.","","","","","","","","16712190","161","10","1","0","94","","","","","","","","","","","","","","","","","16712174","1","0"
"273","-1","-1","0","On Metzen!","달려라 멧젠!","Allez Metzen !","Auf Metzen!","拯救梅森！","梅特森騎手!","¡Vamos, Metzen!","¡Vamos, Metzen!","К Метцену!","","","","","","","","16712190","Save Metzen the Reindeer.","순록 멧젠 구하기","Sauver Metzen le renne","Rettet Metzen das Rentier.","拯救驯鹿梅森。","拯救麋鹿梅特森。","Salva a Metzen el Reno.","Salva a Metzen el Reno.","Спасите Метцена-северного оленя.","","","","","","","","16712190","156","10","1","0","3703","","","","","","","","","","","","","","","","","16712174","1","0"
"319","-1","-1","0","Duels won","결투 승리 횟수","Duels gagnés","Duelle gewonnen","决斗获胜","決鬥獲勝次數","Duelos ganados","Duelos ganados","Одержано побед в дуэлях","","","","","","","","16712190","Duels won","결투 승리 횟수","Duels gagnés","Duelle gewonnen","决斗获胜","決鬥獲勝次數","Duelos ganados","Duelos ganados","Одержано побед в дуэлях","","","","","","","","16712190","154","0","1","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"321","-1","-1","0","Total raid and dungeon deaths","공격대 및 던전에서 죽은 전체 횟수","Nombre total de morts en donjons et raids","Tode in Schlachtzügen und Dungeons insgesamt","在地下城和团队副本中死亡的总次数","團隊和地城中的死亡總數","Muertes en mazmorra y banda","Muertes en mazmorra y banda","Кол-во смертей в подземельях и рейдах","","","","","","","","16712190","Total raid and dungeon deaths","공격대 및 던전에서 죽은 전체 횟수","Nombre total de morts en donjons et raids","Tode in Schlachtzügen und Dungeons insgesamt","在地下城和团队副本中死亡的总次数","團隊和地城中的死亡總數","Muertes en mazmorra y banda","Muertes en mazmorra y banda","Кол-во смертей в подземельях и рейдах","","","","","","","","16712190","125","0","1","9","4","","","","","","","","","","","","","","","","","16712174","0","0"
"328","-1","-1","0","Total gold acquired","획득한 전체 골드","Quantité totale d'argent obtenu","Erhaltenes Gold insgesamt","获得的金币总量","金幣獲得總額","Oro total adquirido","Oro total adquirido","Всего получено золота","","","","","","","","16712190","Total gold acquired","획득한 전체 골드","Quantité totale d'argent obtenu","Erhaltenes Gold insgesamt","获得的金币总量","金幣獲得總額","Oro total adquirido","Oro total adquirido","Всего получено золота","","","","","","","","16712190","140","0","1","9","4","","","","","","","","","","","","","","","","","16712174","0","0"
"344","-1","-1","0","Bandages used","사용한 붕대","Bandages utilisés","Angelegte Verbände","使用绷带","使用過的繃帶","Vendas usadas","Vendas usadas","Количество использованных бинтов","","","","","","","","16712190","Bandages used","사용한 붕대","Bandages utilisés","Angelegte Verbände","使用绷带","使用過的繃帶","Vendas usadas","Vendas usadas","Количество использованных бинтов","","","","","","","","16712190","145","0","1","9","4","","","","","","","","","","","","","","","","","16712174","0","0"
"349","-1","-1","0","Flight paths taken","비행 경로 이용 횟수","Trajets aériens empruntés","Benutzte Flugrouten","乘坐公共飞行工具","飛行趟數","Rutas de vuelo tomadas","Rutas de vuelo tomadas","Совершено полетов","","","","","","","","16712190","Flight paths taken","비행 경로 이용 횟수","Trajets aériens empruntés","Benutzte Flugrouten","乘坐公共飞行工具","飛行趟數","Rutas de vuelo tomadas","Rutas de vuelo tomadas","Совершено полетов","","","","","","","","16712190","134","0","1","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"377","-1","-1","0","Most factions at Exalted","확고한 동맹인 평판","Plus grand nombre de réputations exaltées","Höchste Anzahl Fraktionen auf Ehrfürchtig","达到崇拜的声望","聲望達到崇拜總數","Mayoría de facciones a nivel Exaltado","Mayoría de facciones a nivel Exaltado","Наибольшее количество фракций, которые вас превозносят","","","","","","","","16712190","Most factions at Exalted","확고한 동맹인 평판","Plus grand nombre de réputations exaltées","Höchste Anzahl Fraktionen auf Ehrfürchtig","达到崇拜的声望","聲望達到崇拜總數","Mayoría de facciones a nivel Exaltado","Mayoría de facciones a nivel Exaltado","Наибольшее количество фракций, которые вас превозносят","","","","","","","","16712190","147","0","1","1","4","","","","","","","","","","","","","","","","","16712174","0","0"
"397","-1","-1","0","Step Into The Arena","투기장으로","Un pied dans l'arène","Die Arena betreten","进入竞技场","跨入競技場","Entra en la arena","Entra en la arena","Шаг на арену","","","","","","","","16712190","Win a ranked arena match at level 80.","80 레벨 투기장 본선 전투 승리","Gagner un match d'arène du championnat au niveau 80.","Gewinnt einen gewerteten Arenakampf auf Stufe 80.","在80级时获得一场竞技场积分赛的胜利。","在等級80的競技場積分賽中獲勝。","Gana un encuentro en la arena puntuado en nivel 80.","Gana un encuentro en la arena puntuado en nivel 80.","Одержите победу в рейтинговом бою на арене на 80-м уровне.","","","","","","","","16712190","165","10","1","0","3601","","","","","","","","","","","","","","","","","16712174","0","0"
"457","-1","-1","0","Realm First! Level 80","서버 최초 80 레벨","« Prem's » au niveau 80 sur le royaume","Erster Stufe-80-Charakter des Realms!","服务器第一！80级","伺服器首位!80級玩家","¡Primero del reino con Nivel 80!","¡Primero del reino con Nivel 80!","1-й на сервере! Персонаж 80-го уровня","","","","","","","","16712190","First person on the realm to achieve level 80.","서버 최초로 80 레벨 달성","Première personne du royaume à atteindre le niveau 80.","Erste Person des Realms, die Stufe 80 erreicht hat.","本服务器第一个达到80级的玩家。","伺服器首位達到80級的玩家。","Primera persona del reino que llega a nivel 80.","Primera persona del reino que llega a nivel 80.","Первый персонаж на сервере, достигший 80-го уровня.","","","","","","","","16712190","81","0","1","256","3275","","","","","","","","","","","","","","","","","16712174","0","0"
"477","-1","574","0","Utgarde Keep","우트가드 성채","Donjon d'Utgarde","Burg Utgarde","乌特加德城堡","俄特加德要塞","Fortaleza de Utgarde","Fortaleza de Utgarde","Крепость Утгард","","","","","","","","16712190","Defeat the bosses in Utgarde Keep.","우트가드 성채 우두머리 처치","Vaincre les boss du donjon d'Utgarde.","Bezwingt die Bosse der Burg Utgarde.","击败乌特加德城堡的首领。","擊敗俄特加德要塞的首領。","Derrota a los jefes de la Fortaleza de Utgarde.","Derrota a los jefes de la Fortaleza de Utgarde.","Убейте боссов Крепости Утгард.","","","","","","","","16712190","14806","10","1","0","3226","","","","","","","","","","","","","","","","","16712174","0","0"
"489","-1","574","0","Heroic: Utgarde Keep","영웅: 우트가드 성채","Donjon d'Utgarde : mode héroïque","Heroisch: Burg Utgarde","乌特加德城堡（英雄难度）","英雄:俄特加德要塞","Heroico: Fortaleza de Utgarde","Heroico: Fortaleza de Utgarde","Крепость Утгард (героич.)","","","","","","","","16712190","Defeat the Utgarde Keep bosses on Heroic Difficulty.","우트가드 성채 우두머리 처치 (영웅)","Vaincre les boss du donjon d'Utgarde en mode héroïque.","Bezwingt die Bosse in Burg Utgarde auf dem Schwierigkeitsgrad 'Heroisch'.","击败乌特加德城堡的首领（英雄难度）。","擊敗英雄模式中俄特加德要塞的首領。","Derrota a los jefes de la Fortaleza de Utgarde en dificultad heroica.","Derrota a los jefes de la Fortaleza de Utgarde en dificultad heroica.","Убейте боссов Крепости Утгард в героическом режиме.","","","","","","","","16712190","14921","10","1","0","3225","","","","","","","","","","","","","","","","","16712172","0","0"
"503","-1","-1","0","50 Quests Completed","퀘스트 50개 완료","50 quêtes achevées","50 Quests abgeschlossen","完成50个任务","50個任務完成","50 misiones completadas","50 misiones completadas","50 заданий","","","","","","","","16712190","Complete 50 quests.","퀘스트 50개 완료","Achever 50 quêtes.","Schließt 50 Quests ab.","完成50个任务。","完成50個任務。","Completa 50 misiones.","Completa 50 misiones.","Выполните 50 заданий.","","","","","","","","16712190","96","10","1","0","3421","","","","","","","","","","","","","","","","","16712174","0","0"
"522","-1","-1","0","Somebody Likes Me","후... 이놈의 인기란...","Quelqu'un m'aime","Jemand mag mich!","有人喜欢我","還是有人喜歡我","A alguien le gusto","A alguien le gusto","Я кому-то нравлюсь!","","","","","","","","16712190","Raise a reputation to Exalted.","확고한 동맹 평판 획득","Monter une réputation jusqu'à Exalté.","Erreicht einen ehrfürchtigen Ruf.","在一个势力中达到崇拜声望。","1項聲望提升至崇拜。","Eleva una reputación a Exaltado.","Eleva una reputación a Exaltado.","Добейтесь того, чтобы вас превозносила какая-либо фракция.","","","","","","","","16712190","201","10","1","0","3609","","","","","","","","","","","","","","","","","16712174","0","0"
"588","-1","-1","0","Total Honorable Kills","전체 명예 승수","Nombre total de victoires honorables","Ehrenhafte Siege insgesamt","荣誉杀敌总数","榮譽擊殺總數","Muertes con honor","Muertes con honor","Всего почетных побед в PvP","","","","","","","","16712190","Total Honorable Kills","전체 명예 승수","Nombre total de victoires honorables","Ehrenhafte Siege insgesamt","荣誉杀敌总数","榮譽擊殺總數","Muertes con honor","Muertes con honor","Всего почетных побед в PvP","","","","","","","","16712190","136","0","1","1","1","","","","","","","","","","","","","","","","","16712174","0","0"
"605","-1","-1","0","A Coin of Ancestry","선조의 주화","Une pièce des ancêtres","Eine Münze der Urahnen","1枚先祖硬币","一枚先祖硬幣","Una moneda de linaje","Una moneda de linaje","Монета наследия","","","","","","","","16712190","Receive a Coin of Ancestry.","선조의 주화 획득","Recevoir une pièce des ancêtres.","Findet eine Münze der Urahnen.","获得一枚先祖硬币。","獲得一枚先祖硬幣。","Recibe una moneda de linaje.","Recibe una moneda de linaje.","Получите монету наследия.","","","","","","","","16712190","160","10","1","0","2717","","","","","","","","","","","","","","","","","16712174","0","0"
"625","-1","615","0","Besting the Black Dragonflight (25 player)","검은용군단 처단 (25인)","Vaincre le vol draconique noir (25 joueurs)","Besiegt den Schwarzen Drachenschwarm (25 Spieler)","击败黑龙军团（25人）","擊敗黑龍軍團(25人)","Vencer al Vuelo Negro (25 j.)","Vencer al Vuelo Negro (25 j.)","Победа над родом Черных драконов (25 игроков)","","","","","","","","16712190","Defeat Sartharion the Onyx Guardian in 25-player mode.","칠흑의 수호자 살타리온 처치 (25인)","Vaincre Sartharion le Gardien d'Onyx en mode 25 joueurs.","Bezwingt Sartharion den Onyxwächter im 25-Spieler-Modus.","击败黑岩守护者萨塔里奥（25人）。","擊敗25人模式中的『黑曜守護者』撒爾薩里安","Derrota a Sartharion el Guardián ónice en el modo de 25 jugadores.","Derrota a Sartharion el Guardián ónice en el modo de 25 jugadores.","Убейте Сартариона Ониксового Стража в рейде на 25 игроков.","","","","","","","","16712190","14923","25","1","0","3255","","","","","","","","","","","","","","","","","16712172","0","0"
"629","-1","-1","0","Ragefire Chasm","성난불길 협곡","Gouffre de Ragefeu","Der Flammenschlund","怒焰裂谷","怒焰裂谷","Sima Ígnea","Sima Ígnea","Огненная пропасть","","","","","","","","16712190","Defeat Taragaman the Hungerer.","욕망의 타라가만 처치","Vaincre Taragaman l'Affameur.","Bezwingt Taragaman den Hungerleider.","击败饥饿者塔拉加曼。","擊敗『飢餓者』塔拉加曼。","Derrota a Taragaman el Hambriento.","Derrota a Taragaman el Hambriento.","Убейте Тарагамана Ненасытного.","","","","","","","","16712190","14808","10","1","0","1983","","","","","","","","","","","","","","","","","16712172","1","0"
"647","-1","-1","0","Hellfire Ramparts","지옥불 성루","Remparts des Flammes infernales","Höllenfeuerbollwerk","地狱火城墙","地獄火壁壘","Murallas del Fuego Infernal","Murallas del Fuego Infernal","Бастионы Адского Пламени","","","","","","","","16712190","Defeat Omor the Unscarred.","무적의 오모르 처치","Vaincre Omor l'Intouché.","Bezwingt Omor den Narbenlosen.","击败无疤者奥摩尔。","擊敗『無疤者』歐瑪爾。","Derrota a Omor el Sinmarcas.","Derrota a Omor el Sinmarcas.","Убейте Омора Неодолимого.","","","","","","","","16712190","14805","10","1","0","3680","","","","","","","","","","","","","","","","","16712174","1","0"
"728","-1","-1","0","Explore Durotar","듀로타 탐험","Exploration de Durotar","Erforscht Durotar","探索杜隆塔尔","探索杜洛塔","Durotar","Durotar","Дуротар","","","","","","","","16712190","Explore Durotar, revealing the covered areas of the world map.","듀로타 탐험 및 지역 발견","Explorer Durotar et révéler les zones voilées de la carte du monde.","Erforscht Durotar und enthüllt die verdeckten Gebiete auf der Weltkarte.","探索杜隆塔尔，走过世界地图中被遮住的各个角落。","探索杜洛塔，解開世界地圖上未知的區域。","Explora Durotar y descubre todas las zonas cubiertas del mapa del mundo.","Explora Durotar y descubre todas las zonas cubiertas del mapa del mundo.","Исследуйте Дуротар, открыв все его области на карте.","","","","","","","","16712190","14778","10","1","0","3532","","","","","","","","","","","","","","","","","16712174","0","0"
"763","0","-1","0","The Burning Crusader","불타는 성전사","Le croisé ardent","Der brennende Kreuzritter","燃烧的远征","燃燒十字軍","El cruzado ardiente","El cruzado ardiente","Пламенный Рыцарь","","","","","","","","16712190","Raise all of The Burning Crusade dungeon reputations to exalted.","불타는 성전 모든 던전 평판 확고한 동맹","Être exalté auprès de toutes les factions relatives aux donjons de The Burning Crusade.","Bringt alle Burning-Crusade-Dungeonrufe auf ehrfürchtig.","在所有《燃烧的远征》副本相关势力中达到崇拜声望。","所有燃燒的遠征地城聲望提升至崇拜。","Eleva todas las reputaciones de mazmorras de The Burning Crusade a Exaltado.","Eleva todas las reputaciones de mazmorras de The Burning Crusade a Exaltado.","Добейтесь того, чтобы вас превозносили все фракции дополнения The Burning Crusade, отношения с которыми можно улучшить, сражаясь в подземельях.","","","","","","","","16712190","14865","20","1","0","2365","","","","","","","","","","","","","","","","","16712174","0","0"
"776","-1","-1","0","Explore Elwynn Forest","엘윈 숲 탐험","Exploration de la forêt d'Elwynn","Erforscht den Wald von Elwynn","探索艾尔文森林","探索艾爾文森林","Bosque de Elwynn","Bosque de Elwynn","Элвиннский лес","","","","","","","","16712190","Explore Elwynn Forest, revealing the covered areas of the world map.","엘윈 숲 탐험 및 지역 발견","Explorer la forêt d'Elwynn et révéler les zones voilées de la carte du monde.","Erforscht den Wald von Elwynn und enthüllt die verdeckten Gebiete auf der Weltkarte.","探索艾尔文森林，走过世界地图中被遮住的各个角落。","探索艾爾文森林，解開世界地圖上未知的區域。","Explora el Bosque de Elwynn y descubre todas las zonas cubiertas del mapa del mundo.","Explora el Bosque de Elwynn y descubre todas las zonas cubiertas del mapa del mundo.","Исследуйте Элвиннский лес, открыв все его области на карте.","","","","","","","","16712190","14777","10","1","0","3536","","","","","","","","","","","","","","","","","16712174","0","0"
